Date,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7
"Saturday, October 23, 2021",Galatians 1:11-19,Matthew 13:54-58,,,,,
"Sunday, October 24, 2021",John 20:1-10,2 Corinthians 9:6-11,Luke 8:26-39,,,,
"Monday, October 25, 2021",Philippians 1:1-7,Luke 10:22-24,,,,,
"Tuesday, October 26, 2021",Luke 21:12-19,2 Timothy 2:1-10,John 15:17-27; 16:1-2,,,,
"Wednesday, October 27, 2021",Philippians 1:12-20,Luke 11:9-13,,,,,
"Thursday, October 28, 2021","Luke 1:39-49, 56",Hebrews 9:1-7,"Luke 10:38-42, 11:27-28",,,,
"Friday, October 29, 2021",Philippians 1:27-30;2:1-4,Luke 11:23-26,,,,,
"Saturday, October 30, 2021",1 Corinthians 15:58;16:1-3,Luke 8:16-21,,,,,
"Sunday, October 31, 2021",John 20:11-18,2 Corinthians 11:31-33;12:1-9,Luke 16:19-31,,,,
"Monday, November 01, 2021",1 Corinthians 12:27-31;13:1-8,"Matthew 10:1, 5-8",,,,,
"Tuesday, November 02, 2021",Philippians 2:16-23,Luke 11:34-41,,,,,
"Wednesday, November 03, 2021",Philippians 2:24-30,Luke 11:42-46,,,,,
"Thursday, November 04, 2021",Philippians 3:1-8,Luke 11:47-54; 12:1,,,,,
"Friday, November 05, 2021",Philippians 3:8-19,Luke 12:2-12,,,,,
"Saturday, November 06, 2021",Hebrews 8:1-6,Luke 12:8-12,,,,,
"Sunday, November 07, 2021",John 20:19-31,Galatians 1:11-19,Luke 8:41-56,,,,
"Monday, November 08, 2021",Matthew 18:10-20,Hebrews 2:2-10,Luke 10:16-21,,,,
"Tuesday, November 09, 2021",John 10:1-9,Ephesians 5:8-19,"Matthew 4:25, 5:1-12",,,,
"Wednesday, November 10, 2021",1 Corinthians 4:9-16,Luke 12:48-59,,,,,
"Thursday, November 11, 2021",2 Corinthians 4:6-15,Luke 13:1-9,,,,,
"Friday, November 12, 2021",2 Corinthians 9:6-11,Matthew 5:14-19,,,,,
"Saturday, November 13, 2021",John 10:1-9,Hebrews 7:26-28;8:1-2,John 10:9-16,,,,
"Sunday, November 14, 2021",John 21:1-14,1 Corinthians 4:9-16,Luke 10:25-37,,,,
"Monday, November 15, 2021",Colossians 2:13-20,"Luke 14:1, 12-15",,,,,
"Tuesday, November 16, 2021",Romans 10:11-21;11:1-2,Matthew 9:9-13,,,,,
"Wednesday, November 17, 2021",1 Corinthians 12:7-11,Luke 15:1-10,,,,,
"Thursday, November 18, 2021",Colossians 4:2-9,Luke 16:1-9,,,,,
"Friday, November 19, 2021",Colossians 4:10-18,Luke 16:15-18; 17:1-4,,,,,
"Saturday, November 20, 2021",2 Corinthians 5:1-10,Luke 9:57-62,,,,,
"Sunday, November 21, 2021","Luke 1:39-49, 56",Hebrews 9:1-7,"Luke 10:38-42, 11:27-28",,,,
"Monday, November 22, 2021",Philemon 1:1-25,Luke 17:20-25,,,,,
"Tuesday, November 23, 2021",1 Thessalonians 1:6-10,Luke 17:26-37; 18:8,,,,,
"Wednesday, November 24, 2021",Philippians 3:20-21;4:1-3,"Luke 18:15-17, 26-30",,,,,
"Thursday, November 25, 2021",Matthew 25:1-13,Galatians 3:23-29;4:1-5,Mark 5:24-34,,,,
"Friday, November 26, 2021",1 Thessalonians 2:14-20,Luke 19:12-28,,,,,
"Saturday, November 27, 2021",2 Corinthians 8:1-5,Luke 10:19-21,,,,,
"Sunday, November 28, 2021",Matthew 28:16-20,Ephesians 2:4-10,Luke 18:18-27,,,,
"Monday, November 29, 2021",1 Thessalonians 2:20; 3:1-8,Luke 19:37-44,,,,,
"Tuesday, November 30, 2021",Matthew 4:18-23,1 Corinthians 4:9-16,John 1:35-51,,,,
"Wednesday, December 01, 2021",1 Thessalonians 4:1-12,Luke 20:1-8,,,,,
"Thursday, December 02, 2021",1 Thessalonians 4:18; 5:10,Luke 20:9-18,,,,,
"Friday, December 03, 2021",1 Thessalonians 5:9-13;5:24-28,Luke 20:19-26,,,,,
"Saturday, December 04, 2021",Matthew 25:1-13,Galatians 3:23-29;4:1-5,Mark 5:24-34,,,,
"Sunday, December 05, 2021",Mark 16:1-8,Galatians 5:22-26;6:1-2,Luke 13:10-17,,,,
"Monday, December 06, 2021",John 10:1-9,Hebrews 13:17-21,Luke 6:17-23,,,,
"Tuesday, December 07, 2021",2 Thessalonians 1:10-12;2:1-2,Luke 21:12-19,,,,,
"Wednesday, December 08, 2021",2 Thessalonians 2:1-12,"Luke 21:5-8, 10-11, 20-24",,,,,
"Thursday, December 09, 2021",Galatians 4:22-27,Luke 8:16-21,,,,,
"Friday, December 10, 2021","Luke 21:37-38, 22:1-8",,,,,,
"Saturday, December 11, 2021",Galatians 1:3-10,Luke 13:19-29,,,,,
"Sunday, December 12, 2021",Mark 16:9-20,Ephesians 5:8-19,Luke 14:16-24,,,,
"Monday, December 13, 2021",1 Timothy 1:1-7,Mark 8:11-21,,,,,
"Tuesday, December 14, 2021",1 Timothy 1:8-14,Mark 8:22-26,,,,,
"Wednesday, December 15, 2021",2 Timothy 1:8-18,Mark 2:23-28; 3:1-5,,,,,
"Thursday, December 16, 2021",1 Timothy 3:1-13,Mark 9:10-15,,,,,
"Friday, December 17, 2021",Hebrews 11:33-40;12:1-2,Mark 9:33-41,,,,,
"Saturday, December 18, 2021",Galatians 3:8-12,Luke 13:19-29,,,,,
"Sunday, December 19, 2021",Luke 24:1-12,Hebrews 11:9-10; 32-40,Matthew 1:1-25,,,,
"Monday, December 20, 2021",Hebrews 10:32-38,Mark 9:33-41,,,,,
"Tuesday, December 21, 2021",1 Timothy 5:11-21,Mark 10:2-12,,,,,
"Wednesday, December 22, 2021",1 Timothy 5:22-25;6:1-11,Mark 10:11-16,,,,,
"Thursday, December 23, 2021",1 Timothy 6:17-21,Mark 10:17-27,,,,,
"Friday, December 24, 2021",Hebrews 1:1-12,Luke 2:1-20,,,,,
"Saturday, December 25, 2021",Matthew 1:18-25,Galatians 4:4-7,Matthew 2:1-12,,,,
"Sunday, December 26, 2021",Luke 24:13-35,Galatians 1:11-19,Matthew 2:13-23,,,,
"Monday, December 27, 2021","Acts 6:8-15;7:1-5,47-60",Matthew 21:33-42,,,,,
"Tuesday, December 28, 2021",2 Timothy 3:16-17;4:1-4,Luke 14:25-35,,,,,
"Wednesday, December 29, 2021",Hebrews 2:11-18,Matthew 2:13-23,,,,,
"Thursday, December 30, 2021",Titus 1:5-14,Mark 10:24-32,,,,,
"Friday, December 31, 2021",Titus 1:15-16;2:1-10,Luke 16:10-15,,,,,
